,Date,Steps
0,2024-09-03,0
1,2024-09-04,0
2,2024-09-05,0
3,2024-09-06,0
4,2024-09-07,0
5,2024-09-08,0
6,2024-09-09,11174
7,2024-09-10,12751
8,2024-09-11,19891
9,2024-09-12,5936
10,2024-09-13,14055
11,2024-09-14,25205
12,2024-09-15,8832
13,2024-09-16,21703
14,2024-09-17,7363
15,2024-09-18,14888
16,2024-09-19,17097
17,2024-09-20,15435
18,2024-09-21,9955
19,2024-09-22,9090
20,2024-09-23,6420
21,2024-09-24,9697
22,2024-09-25,13160
23,2024-09-26,11968
24,2024-09-27,3572
25,2024-09-28,7997
26,2024-09-29,15172
27,2024-09-30,14259
28,2024-10-01,9993
29,2024-10-02,4108
